"emotion","intensity","statement","repetition","gender","Amp1","Amp2","Amp3","Amp4","Amp5","Amp6","Amp7","Amp8","Amp9","Amp10","Amp11","Amp12","Amp13","Amp14","Amp15","Amp16","Amp17","Amp18","Amp19","Amp20","Amp21","Amp22","Amp23","Amp24","Amp25","Amp26","Amp27","Amp28","Amp29","Amp30","Amp31","Amp32","Amp33","Amp34","Amp35","Amp36","Amp37","Amp38","Amp39","Amp40","Amp41","Amp42","Amp43","Amp44","Amp45","Amp46","Amp47","Amp48","Amp49","Amp50","Amp51","Amp52","Amp53","Amp54","Amp55","Amp56","Amp57","Amp58","Amp59","Amp60","Amp61","Amp62","Amp63","Amp64","Amp65","Amp66","Amp67","Amp68","Amp69","Amp70","Amp71","Amp72","Amp73","Amp74","Amp75","Amp76","Amp77","Amp78","Amp79","Amp80","Amp81","Amp82","Amp83","Amp84","Amp85","Amp86","Amp87","Amp88","Amp89","Amp90","Amp91","Amp92","Amp93","Amp94","Amp95","Amp96","Amp97","Amp98","Amp99","Amp100"
"1","1","1","1","female",-2.59984495463177,-1.9366725957764,-1.56118053379893,-2.62235224699139,-2.28934395088623,-2.44608795655281,-1.37485106143952,-0.866439755853332,-2.13487162443359,-2.92291609697338,-2.62054221118817,-2.91221833395421,-2.22348034060325,-1.71919091909889,-1.15001899762857,-1.86862093152754,-0.846558376905807,-0.847369730025929,-1.50674071057117,-1.28667943542202,-2.06252102592084,-1.91542890986932,-2.27142272625104,-1.81217520754316,-1.19040488958599,-2.75971084463301,-3.07632519751658,-2.40001533427807,-1.30459128970315,-1.65861344716576,-2.12042036409441,-1.70174615038239,-3.09007310488994,-1.80910374692544,-1.74235286854038,-2.2261823015172,-2.59284446914334,-2.25159830978266,-2.28688695545289,-0.877381957714636,-1.99055145950327,-2.3919561653132,-2.97290878707375,-3.75969957576227,-3.93079387752964,-3.37276308424347,-1.65093570448878,-3.02181221933525,-2.5076442937999,-2.66042872368135,-1.68573698853633,-1.93168213277495,-2.12522887749539,-2.71306438508939,-2.38026522383654,-2.49645714135938,-1.20753540008317,-2.34127976256085,-3.36110457887264,-3.07064521109796,-4.09084825746994,-2.76174960015835,-1.9022456606292,-2.40765939677145,-1.73899627970905,-2.33816959233762,-2.22105582349281,-1.69540546875035,-1.41220716775846,-2.16548865567645,-2.41559156670556,-2.5925863266796,-2.53128705989104,-2.38413145096959,-3.18528541352609,-4.56370635459133,-3.60720721648887,-2.66244835701322,-0.587226683069077,-2.49802737735267,-3.17155940369431,-4.2616767184662,-4.60263834973005,-4.78016934555775,-2.84810849892904,-1.53680589389629,-2.28133986829716,-2.37461391244108,-2.50090174209755,-1.88422770450923,-2.10441936072141,-2.50075101331609,-2.85465636518036,-2.40174215722563,-1.94156063873561,-0.77258841135685,-2.11269223560224,-3.09439666888006,-2.53321120572167,-2.68452977205286
"1","1","1","1","female",-2.30456537739337,-1.92583132297374,-1.75494618055412,-2.31127206633726,-2.55109257559153,-2.402362318013,-1.49623258954307,-0.939016968391292,-2.17807353866772,-3.22844208672624,-2.52824673749373,-2.67176201206651,-2.48429854807329,-1.7711339765162,-1.10398812648619,-2.00985802547343,-0.925117950396545,-1.38673804382624,-1.53661160233608,-1.67253235206594,-2.00487719826477,-1.94302917754994,-2.21232673821275,-1.73041319203529,-1.65022240354618,-2.78060648072806,-3.16864376645446,-2.26797266070003,-1.28916633563863,-1.88985521356593,-2.10242185793729,-1.73859078812618,-2.70109532316497,-2.05135512507004,-1.98145056867003,-2.19794228890148,-2.26382083520512,-2.31780796502127,-2.32690840362125,-0.570378785856587,-1.9700304410064,-2.21393923672194,-3.07129147621323,-4.02762142998879,-3.71011337768071,-3.08290757213112,-1.61849543782544,-2.75195622232584,-2.51716132397221,-2.67215188494668,-1.63855442932559,-1.78147056346356,-2.22771832094281,-2.75998508312579,-2.61045879910459,-2.55048261215521,-1.64464237653648,-2.29023831957868,-3.47065358288843,-2.98482498163873,-4.17667471766814,-2.54667642416375,-2.1289501594533,-1.60708292263838,-1.69864636955344,-1.78947749492738,-2.06511814105852,-1.61066950952135,-1.31136515728551,-1.99314792559863,-2.12918650917276,-2.59404004116924,-2.53353185399054,-2.52240327338286,-3.4216619460838,-4.6933865169259,-3.81902872816462,-2.81890199750964,-0.599278901775862,-2.51094137721802,-2.88819672275256,-3.9853492223109,-4.0890943955612,-4.64938064512941,-2.79409539414279,-1.26520404991368,-2.04056964858149,-2.43472578247897,-2.38468193282426,-1.97659760134726,-2.03983705448874,-2.36446466441874,-2.91002333925772,-2.50198819145908,-2.01025260759392,-1.04791008420505,-2.2876489461255,-2.7756550640767,-2.71267957261829,-2.99362665535095
"1","1","1","1","female",-1.92338517676372,-1.73468849178532,-1.72766722514741,-2.32267957489901,-2.26220776118308,-2.51368652311744,-1.62589673638065,-1.11668656311988,-2.18964533371378,-3.14411246340221,-2.59482134553416,-2.63450363034968,-2.05978302549224,-1.72820065607185,-0.872448815520513,-1.79339843210205,-1.07202037389058,-1.33884219861859,-1.81584044440668,-1.55543491588984,-1.96152289584654,-1.85014511290478,-2.15693303664945,-1.77264009800287,-1.75845699958138,-2.48275915412592,-3.97490790119852,-2.11968406735149,-1.40144046574865,-1.4173124330395,-2.68509487323047,-1.74322936840519,-2.48278813669014,-2.36635006722809,-2.27724637698886,-2.1423857852812,-2.21222581684281,-2.1675636828829,-2.27685542074225,-0.589635997668849,-2.10940247051694,-2.0063883647569,-3.16449684448818,-3.81927778582325,-3.72191530012081,-3.04322008715528,-1.67102318421375,-2.73093409236639,-2.45198537290977,-2.38970479553307,-1.71266890165207,-1.90108698713542,-2.18325438336871,-2.80780892184781,-2.4847962770807,-2.51424969026149,-1.67733735400168,-2.63247709341461,-3.54304656114615,-2.90770976504129,-3.78080932610433,-3.39796084089521,-2.03693915632823,-1.55044459508247,-1.83569127548459,-1.92972338321628,-2.10688947985613,-1.73362276400297,-1.40719440570716,-2.28856908951343,-2.10827746569384,-2.73455908862188,-2.71990844145509,-2.61103447868339,-3.74664406701365,-4.58696947936683,-3.87190413921069,-2.97258088653492,-0.429459980914103,-2.73961258891391,-2.37884697184777,-3.74026760107607,-4.2209071806351,-4.67277553114168,-3.08242887413505,-1.22250638143888,-2.18247824954288,-2.59350388759703,-2.38743022247441,-2.08403055682578,-2.35759975085936,-2.52698617086573,-2.80092137067784,-2.29570795336128,-2.24165759641579,-0.935360119057407,-2.30786790458228,-2.71105538225595,-2.69024025453175,-3.55792482526743
"1","1","1","1","female",-1.73739680051328,-1.74667126780444,-1.70040855071348,-2.25127451165137,-2.23806202383001,-2.48220683480448,-1.60557819264527,-1.02753640082968,-2.21320904584682,-3.22895994607888,-2.81614070097516,-2.71722145197075,-2.1402186130855,-1.74919724246685,-0.958375545467202,-1.78375615521351,-1.29644684970567,-1.65892999036245,-1.61556967842658,-1.6323546248039,-1.87925695981864,-1.65595128951681,-2.33975391054615,-1.8222041447967,-1.68995102776964,-2.53102514770152,-3.64599606790692,-2.22769766499021,-1.83526658960373,-1.2583744061835,-2.06802597832002,-1.87250270792829,-2.44279442158017,-2.50669471165261,-2.07046766590323,-2.20459360314184,-2.53886193258451,-2.22642840985508,-2.26267705970196,-0.598333513536762,-2.04002451973577,-1.87509364726126,-3.12162352741029,-3.60839620003743,-3.74840732241653,-3.2002913826389,-1.65118107534396,-3.10300693475394,-2.62835768223229,-2.38550762883339,-1.53898081384513,-1.51555991878975,-2.44453788612568,-2.90269337649045,-2.41202564801112,-2.44962869559575,-1.63091080809537,-2.31137549079127,-3.96998466879947,-3.05152709208316,-3.66167830611158,-2.72643254184365,-2.20501801094296,-1.73245603833891,-1.93584655477375,-2.17776869321398,-2.78171688568733,-1.82057001854267,-1.33235757665949,-2.13894137564854,-1.99382968038204,-2.53858886514976,-2.73553336725841,-2.36500582545616,-3.14933452966465,-4.42275969537308,-3.67291705823413,-2.62094321787142,-0.402589575141703,-2.48953442059265,-2.05287457966087,-3.64251386969449,-4.9290855164166,-4.67198163813645,-3.16021811195731,-1.28535189722426,-2.06225906281933,-2.62637192124407,-2.54237642446598,-2.04950588186739,-2.26392210717467,-2.36660671525173,-2.77796285355386,-2.563895595197,-2.60223650398587,-0.810626876103561,-2.67882471692652,-2.81037593377052,-2.6598620799449,-2.99351060828459
"1","1","1","1","female",-1.69581490022731,-1.69894460374451,-1.5074278601254,-2.14881093216545,-2.12673237718344,-2.415733562159,-1.6678635218197,-1.14683825114698,-2.09601288831936,-3.43962479479856,-2.75066882756151,-2.88522953897531,-2.64314194998431,-1.8109195365975,-1.34286972850818,-1.8845959168949,-0.999035050281269,-1.42858246633802,-1.66644629186293,-2.11484657294409,-2.06862843640496,-1.70726397302086,-2.35083891037568,-1.75388773765602,-1.66153059882635,-3.39064147019459,-3.52589906745753,-2.34581627747466,-1.46459242297905,-1.39346221775543,-2.13140237092154,-2.10145990215298,-2.52829104647815,-2.43543279272243,-1.9129714854737,-2.16422831646466,-2.30888475140969,-2.34808683920176,-2.344141117542,-0.577452380128453,-2.01038268925286,-1.93641963108209,-2.8115621826759,-3.6325646097339,-3.73020902016283,-3.10965855872887,-1.8177609543926,-2.70962021118323,-2.63855979841718,-2.64198452498693,-1.4578086314395,-1.63310261764931,-2.24932915158767,-2.88219489762631,-2.43347208701169,-2.53317019282701,-1.42625401414865,-2.31881483689395,-4.19427935082282,-3.40216183432526,-3.60749796493525,-2.71364555517945,-1.97218324583377,-1.82484149525418,-1.8114285442791,-2.22863179776523,-2.36879490964853,-1.88866256957019,-1.50723110034171,-2.06710920924068,-2.02829842801634,-2.54376802831639,-2.60379019525927,-2.39173324997432,-3.18945788280798,-4.48104770241397,-3.74637310107295,-2.69113418970456,-0.819562109954829,-2.48965069260514,-2.28883504700136,-3.59341468280949,-4.42545762477598,-5.13239908092549,-2.98243248527731,-1.40198038232414,-2.03305262928244,-2.81380830480076,-2.57223856873999,-2.1632664404601,-2.21622215907576,-2.56676519446575,-3.34828567570711,-2.46367272334843,-2.14576879881993,-1.06190060488577,-2.45178605043942,-2.91839707400364,-2.95944461773125,-2.83037821866678
"1","1","1","1","female",-1.71562387688568,-1.65573373382217,-1.81189584985673,-2.81335997103629,-2.6090586696289,-2.77195002407122,-1.57185484107669,-1.17429764200984,-2.27285688566639,-3.62959990182498,-2.66576795206671,-2.67507440815069,-2.12786845294032,-1.81532263782321,-1.12241970136432,-1.80563679839931,-1.07327276173252,-1.34058292058574,-1.67213962850784,-1.87509071572674,-2.26358473695099,-1.99379739812054,-2.27490875791362,-1.87780935120428,-1.39892401762034,-3.0133359712998,-4.00213862302403,-2.15058364082567,-1.5344420896574,-1.46186080472838,-2.21682459373369,-2.07813323762345,-2.69861422102511,-2.79825761637009,-1.99637918754795,-2.36726999158886,-2.94925481874241,-2.22278929439465,-2.33033170483369,-0.496011321760227,-2.09821973675499,-2.35999987009624,-2.90503937910524,-3.79065659295168,-3.75495488692578,-2.98811411577727,-1.74191883506535,-2.51988274218367,-2.44625135186903,-2.64953383759964,-1.57046437500803,-1.72825962370415,-2.10039187628496,-2.89916982711824,-2.59381366029998,-2.25298708774466,-1.58189617101917,-2.36982858314113,-4.13908493185596,-3.08037051383545,-3.45313354548026,-1.49076307029541,-1.82130859576107,-1.61328957645845,-1.8744780616266,-2.56273483480238,-2.17166086670699,-2.04043310840225,-1.29346177489809,-2.00126383015401,-2.25162878785303,-2.67062522636171,-2.66638119397545,-2.40531009618921,-3.71424784251851,-4.19592301606627,-4.03919188850884,-2.79745966379701,-1.13550189313969,-2.77656453869342,-2.62765196353966,-3.62453405334687,-4.22875805979332,-4.29574852814784,-2.97572566442717,-1.41621468082025,-2.20132618441444,-2.88715655195188,-2.50587992301425,-2.06925490445002,-2.36321496485598,-2.3428326144535,-2.73692971790663,-2.42954781323243,-2.22551658068525,-0.704856043945857,-2.19336234019026,-2.92122302864758,-3.02273396490852,-2.76396296262189
"1","1","1","1","female",-1.79668100012746,-1.78329548338227,-1.92388415101442,-2.15413998378306,-2.419723646937,-2.63313201146999,-1.63963943688221,-1.16286356448641,-2.33157484959845,-3.39218771728833,-2.74122869604387,-2.64041668069113,-2.45243381706167,-1.93706726495265,-1.42627276914737,-1.83794904150384,-1.21318282591973,-1.40264096809622,-1.58944657443962,-1.62545684525418,-2.07023987377706,-1.90232121808644,-1.81275403575438,-1.80396132255641,-1.65946397009887,-2.6649028455284,-3.38220923232564,-2.35758366661955,-1.45161288622282,-1.42044648598352,-2.03638709196578,-1.87072423753126,-2.91499617323681,-2.9989162885698,-2.02834771241918,-2.42147144472379,-2.43777801918811,-2.39604165867065,-2.15025809776394,-0.383274128974074,-2.02306718294852,-2.29697085837248,-2.82660058776823,-3.69990841077527,-3.99800787394175,-2.96565891170832,-1.92765881599025,-2.5989217712808,-2.49139436878245,-2.56358039746202,-1.57365694881774,-1.61403460008375,-2.16221614375251,-3.07710860014306,-2.54820858989014,-2.27719738139709,-1.69825626409146,-2.34581961774298,-3.34356782729848,-2.9174462530283,-3.58273945301297,-0.928250151927427,-1.76788850348715,-1.4893370681895,-1.90180329541451,-2.47691965436809,-2.18744596425547,-1.94020577954628,-1.88316116493048,-2.24383169325161,-2.31701345156032,-2.69004009224145,-2.65366376183214,-2.68434602059868,-3.49074592043681,-4.23308053585266,-4.28624469774483,-2.82233499661137,-1.41628246251681,-2.70218920454911,-2.66685463720339,-3.51457204136242,-4.13184360613541,-4.44242257669552,-2.93213704768056,-1.61670612465175,-2.14565026287353,-2.79331418039478,-2.84821646468702,-2.02429232796238,-2.4811701488992,-2.45888536752279,-2.62796606125788,-2.32665066856008,-2.43516010958776,-0.878158865475504,-2.19266233038577,-3.03844266558064,-2.71671081805586,-2.6025258179582
"1","1","1","1","female",-1.81797668302513,-2.27870726674962,-1.76754733070779,-2.26667577097801,-2.2401181599679,-2.56473617983746,-1.58502292294421,-1.30362737215379,-2.09195326075129,-3.31264470836007,-3.69789517288851,-2.78660986830945,-2.3278745392402,-1.89827222993186,-1.18400217629516,-1.73493306096125,-1.11039435097673,-1.40357755368055,-1.68848977964258,-1.55417846737903,-1.99984337213606,-1.8133134815695,-1.033154054796,-1.85102242832457,-1.4293818368916,-2.65438696911268,-3.47727515396274,-2.41217608057578,-1.2947941136932,-1.47861471032387,-2.24730549661334,-1.82984492736814,-2.57900298740093,-2.77833088282482,-2.09246560839289,-2.32573716453011,-2.52696779332347,-2.32391602440798,-2.10216576238315,-0.465676677852407,-1.90164328994949,-1.99088230475018,-3.00035727719032,-3.4682834589474,-3.79124119986587,-3.05129143180802,-1.98380732861405,-2.90900674907692,-2.57065958153508,-2.5458434979704,-1.72004577113056,-1.64977119395702,-2.36105510677309,-3.18400873975987,-2.50255544224296,-2.39441450332139,-1.73071988094853,-2.45751161423351,-3.69605405027684,-3.04481412471615,-3.66671200891157,-0.576279652769642,-1.80833610756441,-1.82457172860472,-2.05634717688674,-2.3335596473537,-2.24318107486553,-2.23626200866612,-1.40534804930826,-1.99158544260877,-2.2977402482934,-2.99225333335098,-2.73191065066304,-3.07555565345301,-3.54044661135261,-5.32096387996124,-4.2909899629388,-2.89852236806688,-2.28208203892475,-2.79353547900032,-2.9838714731221,-3.95588764065618,-4.04527659265192,-4.39339996107775,-2.92391321515714,-2.018745660263,-2.32551344286317,-3.12513372609346,-2.52346116312766,-2.55606575624833,-2.41999454356751,-2.44221020837843,-3.21149393896145,-2.69629051062556,-2.36194524200179,-0.925309402053023,-2.18101645115415,-2.9028423816963,-2.76695493203069,-2.58249793148012
"1","1","1","1","female",-1.82473516959468,-1.9872055751485,-1.36897453376239,-2.23052496755088,-2.32443372313407,-2.7666068867808,-1.38758153411504,-1.19998811421147,-2.27153525771457,-2.99557545859107,-3.22152150203633,-3.43805510558935,-2.16248185994585,-1.80178036594935,-0.925582258203007,-1.72258717775682,-0.941609107601343,-1.32261671861581,-1.5402462437316,-1.92240529277725,-2.02644235530489,-1.79927994312527,-0.393328906153155,-1.92689961513824,-1.34788189982978,-2.88268358105598,-3.50826446701261,-2.14313874074226,-1.30373383779937,-1.59148092792054,-2.25248562822427,-1.85461684882971,-2.62201737881841,-2.62704641512184,-2.5602205424787,-2.20419673447598,-2.37602129896614,-2.40890210532043,-2.10657960455733,-0.401190124118394,-1.91903688226922,-1.9007966955585,-3.14141528634993,-3.48442605526434,-3.70249977329414,-3.09765870671513,-2.19452253544979,-2.88476559717772,-2.60893504923297,-2.62186531904857,-2.17057037425688,-1.51379648449521,-2.35737738479955,-3.07020947379242,-2.54520305311327,-2.30976822158452,-2.06104744689452,-2.73943445575635,-3.5003584838352,-3.29964338945152,-3.62083160495549,-0.627451714657689,-2.08346777311355,-1.7891990701199,-2.04151803961487,-2.27246175034207,-2.30873836164637,-1.99401269305328,-1.93202084429981,-2.06089039256656,-2.29031848344738,-2.56997111976034,-2.75653102993578,-3.03155475498933,-3.75294806278148,-4.3696314219034,-5.68679408329093,-2.78996594739744,-1.78838858374128,-2.56512449971292,-3.14517630603004,-3.62457541408699,-4.09483137161982,-4.24035864714116,-2.88969982240069,-1.58893436780352,-2.45655552835794,-2.59509197034807,-2.5259907542679,-2.10260780180515,-2.4170494120237,-2.55983033632432,-2.71157914194661,-2.3368420525875,-2.36558872043876,-0.957506998044413,-2.10011689132205,-2.97499457474517,-2.95008675249468,-2.76938500863877
"1","1","1","1","female",-1.8914115276828,-2.05902378990742,-1.49594935906131,-2.13535242102425,-2.5575931969201,-2.5051162954181,-1.46056060844023,-1.22694808791447,-2.18158673253619,-3.32612773813079,-2.83239581090724,-2.88539459537728,-2.88669234729924,-1.7903206872626,-0.709815782990697,-1.89064262384654,-0.899295451415157,-1.56793962084935,-1.41668707676874,-1.74957193334164,-2.230290490555,-2.15818159385943,-0.313175652029035,-1.88844664986908,-1.80350535969522,-2.71937871155463,-3.41509291489068,-2.03075236800398,-1.41291018562478,-1.68586178387413,-2.180933935943,-2.08910982013644,-2.73381574607979,-2.6957965191789,-2.12850433148421,-2.31481290688309,-2.31000366218365,-2.29946501336408,-2.1836702938358,-0.416836963724116,-2.13457219389686,-1.93459143471996,-2.90325189065878,-4.11729147298115,-4.34309862018685,-3.12429825833311,-1.96888304968797,-3.17515117070192,-2.84069320034295,-2.52120876018192,-1.89364920260355,-1.80361911290943,-2.48713907401457,-2.90780086791627,-2.45028602366965,-2.59753732401093,-2.07626577612003,-2.49776846344523,-3.50400970415149,-3.55367215180006,-3.72810292214477,-0.725547893826085,-1.97213536247034,-1.75205302692515,-2.20733486009284,-2.51337338901364,-2.084425978721,-1.95365347578052,-1.40142593403828,-1.9506053354163,-2.30250097669879,-2.51605149447336,-2.93066979820266,-2.70902632161691,-3.28847398022627,-4.38525818968641,-4.09027475979396,-2.79357320245842,-1.65343687294876,-3.57917474933015,-3.18981932229724,-3.4596607869269,-4.41553791462376,-4.53910594802494,-3.07592187401533,-1.43477059508873,-2.22397157580059,-2.57178259199838,-2.88242313022796,-2.19644986466374,-2.28434896317424,-2.52781345568935,-2.4941764155086,-2.2697632764599,-2.42317937315026,-1.0787059701869,-2.19307350084981,-2.81642241124769,-2.72565352584278,-2.82841094693961
