"emotion","intensity","statement","repetition","gender","Amp1","Amp2","Amp3","Amp4","Amp5","Amp6","Amp7","Amp8","Amp9","Amp10"
"1",-0.466666666666667,-0.5,-0.5,0.5,-1.36150660072569,-1.02658866726609,-2.13758019249299,-1.66117650180833,-2.02564955379577,-1.86131900979995,-0.603361733786745,-2.19265224451836,-1.49709570537075,-2.48394192960316
"1",-0.466666666666667,-0.5,0.5,0.5,-0.632753010364665,-1.60948762022594,-2.20505751367242,-1.83674404889573,-2.05355179074071,-2.25874241807796,-1.69552087003796,-1.913908052702,-1.83296067463718,-2.26252241022897
"1",-0.466666666666667,0.5,-0.5,0.5,-2.0836460552746,-1.4945312722881,-1.4353244525931,-1.42181302163426,-2.0819749494858,-1.90057202384933,-0.504055240617456,-2.26002805711466,-1.28356441233767,-1.18909621631052
"1",-0.466666666666667,0.5,0.5,0.5,-1.50458450910298,-1.33646623865893,-1.61641409831819,-0.875310868002888,-0.146104177524784,-1.70003098278004,-1.82764159156877,-1.72518614821968,-1.00329108026276,-2.15762600932897
"2",-0.466666666666667,-0.5,-0.5,0.5,-0.834266188726546,-1.76235994544886,-1.36833557065329,-1.45733541629713,-1.17402452943445,-1.25095369820884,-1.8725762561619,-1.80330663573778,-1.78824905049114,-2.05888046604545
"2",-0.466666666666667,-0.5,0.5,0.5,-1.83953668676209,-1.51462641111258,-2.0805975896265,-2.1156693297422,-1.50620589922263,-2.34158209960907,-2.05291043344779,-1.91107928347905,-1.88190428418551,-2.31339141641932
"2",-0.466666666666667,0.5,-0.5,0.5,-1.76340160150164,-1.985792995225,-1.40952272341467,-1.05625829188969,-2.27101304741431,-1.56192586309636,-1.8655316457158,-0.989739642948183,-1.59859986390082,-2.44065281537526
"2",-0.466666666666667,0.5,0.5,0.5,-0.707517463407931,-1.54265964227,-1.82315474126523,-2.21343135220165,-1.62924415734409,-1.81979844236183,-1.68539291756074,-1.51593096664434,-1.71046279176008,-2.05009127087578
"2",0.533333333333333,-0.5,-0.5,0.5,-1.73293565415291,-2.15676893798406,-2.00161228740551,-1.43440219395765,-1.7056338396723,-2.10725584517451,-1.47981445650376,-2.11218789260057,-2.41789957017201,-2.02842980229987
"2",0.533333333333333,-0.5,0.5,0.5,-2.09768105488445,-1.10869420847347,-1.43013543402118,-1.77649951786519,-1.27242908944812,-1.72241388394002,-1.88282694484388,-1.90645742295243,-1.41352916155252,-1.82133933917115
"2",0.533333333333333,0.5,-0.5,0.5,-1.13921136348713,-1.57887879291785,-1.10686104709735,-1.86753624466088,-0.888929626327257,-1.79045902779968,-0.17529201233191,-1.33576125830518,-1.45700482898722,-1.85128114289569
"2",0.533333333333333,0.5,0.5,0.5,-2.19017499941054,-0.668755198144957,-1.32882103132862,-1.84332906238898,-1.44957911720917,-2.05019836559316,-1.91715971156338,-1.87444122739969,-1.51043781357586,-2.07942733384377
"3",-0.466666666666667,-0.5,-0.5,0.5,-1.17311792704734,-0.704107416904987,-2.03846791674234,-2.30457560706065,-1.94471121578029,-1.44984448852772,-1.68808921174631,-2.1556382167285,-0.63455387409114,-2.09328061354331
"3",-0.466666666666667,-0.5,0.5,0.5,-0.399498084414407,-1.92495394375145,-0.774228945796464,-1.56912076391394,-2.01732669580314,-2.52522958257076,-2.01171534632699,-2.21740592574515,-2.04871657273866,-2.2020327207117
"3",-0.466666666666667,0.5,-0.5,0.5,-1.81773572402927,-2.19369145210226,-0.904152004774754,-1.30549167641268,-1.43425796741451,-1.610171442822,-1.87249164698683,-1.99329070636708,-1.70904388983704,-1.96823992676094
"3",-0.466666666666667,0.5,0.5,0.5,-1.87140043101512,-1.81732873011978,-1.60269592143413,-1.88818689738858,-2.67323358136518,-1.6108556445079,-1.3087918021193,-1.97582445555505,-2.28952751924962,-2.29577997428492
"3",0.533333333333333,-0.5,-0.5,0.5,-0.225967674062275,-1.61139884990942,-2.11686003861821,-1.48644614803082,-1.62418695923462,-2.00103763778028,-2.27076325679996,-2.15098970589822,-0.830181897069394,-1.92615082794186
"3",0.533333333333333,-0.5,0.5,0.5,-1.82129614009837,-1.56818912750182,-1.77410658485164,-2.05905019890101,-2.01035722059232,-1.79983881777382,-1.09479249978418,-2.37894514138114,-2.18728980477274,-2.75982374996111
