"emotion","intensity","statement","repetition","gender","Amp1","Amp2","Amp3","Amp4","Amp5","Amp6","Amp7","Amp8","Amp9","Amp10","Amp11","Amp12","Amp13","Amp14","Amp15","Amp16","Amp17","Amp18","Amp19","Amp20","Amp21","Amp22","Amp23","Amp24","Amp25","Amp26","Amp27","Amp28","Amp29","Amp30","Amp31","Amp32","Amp33","Amp34","Amp35","Amp36","Amp37","Amp38","Amp39","Amp40","Amp41","Amp42","Amp43","Amp44","Amp45","Amp46","Amp47","Amp48","Amp49","Amp50","Amp51","Amp52","Amp53","Amp54","Amp55","Amp56","Amp57","Amp58","Amp59","Amp60","Amp61","Amp62","Amp63","Amp64","Amp65","Amp66","Amp67","Amp68","Amp69","Amp70","Amp71","Amp72","Amp73","Amp74","Amp75","Amp76","Amp77","Amp78","Amp79","Amp80","Amp81","Amp82","Amp83","Amp84","Amp85","Amp86","Amp87","Amp88","Amp89","Amp90","Amp91","Amp92","Amp93","Amp94","Amp95","Amp96","Amp97","Amp98","Amp99","Amp100"
"1","1",-0.297338792221085,-0.5,"male",-0.999865044708662,-1.12029048826098,-1.3158234023051,-1.65175504389324,-2.2935894650966,-1.14004032108883,-0.91126093047075,-1.61414514621045,-1.26524687928908,-1.79802001139609,-0.852722218214917,-1.40948263841079,-1.45793178570333,-1.90792803899555,-2.06073091922793,-1.30423444019662,-1.28159055661126,-1.44588882438716,-1.8305338888628,-2.64594524919129,-1.9806833732051,-1.84806506615496,-2.12803144023962,-2.1538719845035,-2.40245997857392,-0.797182974290919,-1.90351402926572,-1.60053036913615,-2.19098860499516,-1.16884120609115,-1.7596277505553,-2.06989616201381,-1.85358532431048,-1.95181060468496,-0.601213278854559,-1.12599207684648,-1.71211818333311,-2.52734963475213,-2.40049677551642,-1.60447842096611,-2.08160535815237,-1.99200785204088,-2.34213700894751,-2.62242032778515,-1.51249836131362,-1.35076964703068,-1.75587963304804,-2.46628644700793,-2.96970407635943,-2.04118633444919,-2.04190711362295,-2.19151829146967,-2.45728113611849,-3.06537836331397,-2.48423548174633,-2.49880227111397,-2.66812530885612,-2.22808151618486,-0.540313796879709,-1.99421083631527,-1.49792867186975,-2.38148349546254,-2.49528821569557,-1.36765318853629,-1.72571400884823,-2.3848208728269,-2.47182052274343,-2.26244339306623,-1.74988622922132,-1.96278368036592,-1.62796303453966,-2.44682145862965,-2.54909821753611,-2.08461979251002,-2.9824611029255,-2.45154988922182,-2.44881976885503,-2.77228463098267,-1.7238997382318,-2.0927190538787,-2.10023781163449,-2.38665712147022,-2.56805395262748,-2.39151005237459,-2.60459705899642,-2.75238191644337,-2.93147020197982,-0.931054160090395,-2.34021721908898,-2.32909251919645,-2.26275565582032,-2.93251451845378,-1.0768297649205,-2.07153484128263,-2.66477156168142,-2.87575963217905,-2.99384567347429,-2.03097342393732,-3.36639721879839,-3.07473352450668
"1","1",-0.297338792221085,-0.5,"male",-0.916455576320984,-1.46979459732817,-1.20982670229252,-1.4716753626652,-2.27653613258152,-1.13000954706435,-0.914984441461056,-1.93084752155419,-1.19805417613958,-1.94168934651452,-0.955785927627953,-1.37986647172288,-1.56670832128694,-1.96882910926347,-2.29010349438719,-1.16763852387749,-1.61095190487597,-1.67006395852736,-1.70873716453995,-2.51032177685157,-1.35971980262597,-1.6653805107247,-2.14124488327804,-2.34805901098114,-2.3457422681095,-0.863452927555668,-1.80559424472366,-1.47663278962258,-2.12708648458462,-1.27600074511878,-1.70978084263672,-2.08011071379892,-1.91705259817769,-2.08576377874251,-0.479233161032222,-1.10802278984247,-2.08370775665865,-2.99015675485855,-2.33818893915399,-1.75543441699598,-2.26463827317456,-2.05847784192822,-2.18115583219558,-3.03657466826765,-1.60952750956205,-1.27266738889575,-1.80146795535857,-2.80835421214619,-2.61266852787684,-1.62131190730474,-1.88581591984065,-2.2511690675361,-2.76524367726336,-2.95735099554358,-2.50998466914834,-2.94893295980681,-2.69349291235497,-2.25386003212275,-0.470606412774114,-2.0021369566825,-1.54675476622765,-2.01979064786518,-2.28940949814326,-1.05756167570574,-2.26325610401729,-2.52278452482959,-2.88826126360078,-2.18668279490286,-1.72833333810508,-1.6358251472332,-1.67914605522879,-2.18286896480046,-2.36788624915974,-2.35835549745918,-2.53188118827456,-2.40662882914066,-2.34489670743255,-2.50303258200638,-1.87993358477472,-2.21171454924191,-2.1659250357684,-2.95796161586606,-2.69758891887461,-2.47879839496974,-2.28909464828006,-2.981599558558,-2.43455418809836,-0.921049794029687,-2.32054527957128,-2.18133314397582,-2.25171340603622,-2.76887422564108,-0.84638109456785,-2.12105735122364,-2.41184974146229,-2.84232896034183,-3.10795857094477,-2.18665435575986,-3.05480977501886,-3.53634522716904
"1","1",-0.297338792221085,-0.5,"male",-0.940749686969114,-2.22517213530768,-1.15759179354117,-1.49761361162889,-2.34720568954776,-1.03358621306182,-1.22132417131083,-1.51767898827435,-1.19636923350558,-2.07482218193893,-0.805608360893969,-1.51040175087347,-1.39573493727557,-1.99763670242831,-2.36580380273102,-1.26709893359459,-1.51885015077103,-2.03676641400011,-2.01285926815855,-2.42489718306627,-1.53575026141741,-1.64381551803264,-2.30432343397433,-2.28699588779648,-2.42378388126693,-0.861102349622323,-1.50255302072804,-1.36284540398851,-2.19189028131674,-1.11110404658125,-1.68719418487134,-2.33703333173875,-1.79039418029486,-2.12034589296086,-0.275309332471972,-1.31909985495147,-2.20867434528908,-2.239562904011,-2.37302830837061,-1.88400529488079,-2.23815045419837,-2.2803729555643,-2.34751267580381,-3.05455252702163,-1.66684769341028,-1.25475623925802,-1.71370192875459,-2.37597733821978,-2.40073761051796,-2.22974178283288,-1.82998878891806,-2.58628902121256,-2.96792015252392,-3.1633596018437,-3.00985370860343,-2.95872869275708,-2.62135774334099,-2.60901160948374,-0.529886080424591,-2.1372551452078,-1.46793581025314,-1.9589116815629,-2.22708493204758,-1.24437242503355,-2.08907639937291,-2.27082253979267,-2.94053181230656,-2.25202116047109,-1.7291457848412,-1.57245839529118,-1.56662614773153,-2.21157428795766,-2.38313812391651,-2.28944389298659,-2.5590829280151,-2.29625153516516,-2.67928200851982,-2.50017919620714,-1.88691640171746,-2.28970650212265,-2.0872598023243,-2.46438482998935,-2.87003240663049,-2.37713479601138,-2.23780927989732,-2.72275002158165,-2.44031143439727,-0.437104783526793,-2.23039495575435,-2.07280369120364,-2.39424140497337,-2.8299297819571,-0.823114026178109,-1.95494869229494,-2.68953148272751,-2.90379155631773,-3.10766573395347,-2.64528279471809,-2.8091172589676,-3.40575224226629
"1","1",-0.297338792221085,-0.5,"male",-0.969903020509472,-1.43641030083228,-1.28346905022262,-1.76082020058241,-2.35171318448024,-1.00414920613305,-1.15173701048949,-1.27765564576175,-1.20529325152099,-2.02514535746513,-0.880369348873302,-1.51162563845151,-1.46474307635745,-2.11173690697993,-2.2243104670302,-1.26461463601804,-1.54126630533493,-1.90849097677302,-1.77697772809359,-2.43200147355828,-1.39610935739977,-1.71026951148487,-2.3805178898629,-2.1981687080551,-2.57431507504057,-0.934475719048522,-1.15955902496034,-1.28016471377936,-2.15826355679845,-1.14691210206148,-1.64572296115708,-2.43467438858151,-1.79693329875524,-2.02629279331656,-0.377566780984912,-1.60311524022791,-2.47711521008754,-2.03401297181946,-2.45052594580445,-1.78749616510748,-2.28021364928901,-2.17539814555123,-2.28951806500818,-2.72644388250729,-1.65551202326919,-1.27980282125554,-1.68748171682706,-2.1816507996559,-2.48949372826465,-1.94287266016098,-1.84016521009209,-2.42893791848948,-2.96353456250371,-2.93126369101149,-2.84792417557692,-2.60839197046453,-2.33819519231787,-2.46359533359871,-0.197305331845498,-2.00159501442412,-1.49546660311117,-2.43746340195408,-2.39936573405325,-0.888645264522988,-1.80635857581136,-2.27160128142719,-2.84883805421039,-2.49395082873244,-1.77050121610084,-1.84254038611697,-1.6421168347545,-2.07268939749254,-2.59728901153961,-1.98125160905769,-2.925118053419,-2.31960433863655,-2.42859772344511,-2.60570209404199,-2.31006874535515,-2.15073145690836,-2.07545664203754,-2.40857565511522,-3.13151726464574,-2.31483845930854,-2.09506414742572,-2.88898579362501,-2.60401456101701,-0.449871177069531,-2.23506478893466,-2.021072494949,-2.85771228871162,-2.92894759768984,-1.06133217669,-1.79556601960732,-2.59234941495949,-2.98620317516982,-2.75725467421181,-2.74258035855906,-2.67747353089677,-3.68199890012812
"1","1",-0.297338792221085,-0.5,"male",-0.727440804998523,-1.46955496124217,-1.69155974925136,-2.13689726883245,-2.37203386919748,-1.08351195734925,-1.12663284387441,-1.24389028200566,-1.19426773747831,-2.00119379381281,-1.12313253351432,-1.32366749397383,-1.69108842629363,-1.85420062656499,-2.18945884492515,-1.66031044450038,-1.26920901416919,-1.82675028493332,-1.85773525411897,-2.42388039821982,-1.44343732641346,-1.88955551947157,-2.10391566726525,-2.62552644860665,-2.44624835256394,-1.01231589818875,-1.20444566211719,-1.31165888091444,-2.0832849779682,-1.09390770441285,-1.70281294733989,-1.90783282540855,-1.85223376272618,-1.89829019077908,-0.804481054242153,-1.59511945279417,-2.39501359736907,-2.26658974852358,-2.40340086341661,-1.51680741151567,-2.42586821961205,-1.97455914599819,-2.99514065636574,-2.70936483856918,-1.47814775240864,-1.41375653783735,-1.56078519592792,-2.23524079900592,-2.70382939702522,-2.00686404897405,-1.81238421812128,-2.3391363306184,-2.69414451105982,-2.83405376117753,-2.50139509453975,-2.52651909229936,-2.38364938539715,-2.39632552678447,-0.1235383143305,-2.22197402721098,-1.73830984968743,-2.07247744350438,-2.46877482602683,-0.633983822232991,-1.67680067389228,-2.33079904432943,-3.09308446689205,-2.70476390910988,-1.87527353243395,-1.87684140440215,-1.84878102976088,-2.00214008330087,-2.35960991008204,-2.05609281453294,-3.15784688811464,-2.52199752309818,-2.55218206742015,-2.4224848157855,-2.24720198351671,-2.11682254030564,-2.08418219926076,-2.54905084765612,-3.28351758542525,-2.31675047956824,-1.85132213911923,-2.69037819799841,-2.69199699200697,-0.703816494821162,-2.2103378031812,-2.15504916357105,-2.87790971022868,-2.72066747718396,-1.37730427820349,-1.86666300549124,-2.57022035517925,-3.25789996384077,-2.89507233929107,-2.62874529766599,-2.73700887235667,-3.88796452282318
"1","1",-0.297338792221085,-0.5,"male",-0.948331296186961,-1.26237010469987,-1.26301428418521,-1.93976361421829,-2.33058701020599,-0.83235474761472,-1.18159958913978,-1.35169985112285,-1.17462693690447,-1.87519151673599,-1.02449946819185,-1.32440408485655,-1.59479372771366,-1.85076447160549,-2.68171313726661,-1.09226205198108,-1.27848002005236,-1.92531546986393,-1.73060755614959,-2.54000169846674,-1.18633730662817,-1.91586169674528,-2.0090538333091,-2.1553849111568,-2.79999073872379,-0.896632525251103,-1.87134932445393,-1.55222949592261,-2.09414994111413,-1.29148315757086,-1.83357210196769,-1.77155016991426,-1.86041446601285,-2.03139477793167,-0.697944886866529,-1.81162562470241,-2.25698769587566,-2.15439597599056,-2.5092325584501,-1.4848110944059,-2.38345059011225,-2.06059409085654,-2.21590266001581,-2.83034832539657,-1.47113939779556,-1.62894749252683,-1.46487094358643,-2.27032865323734,-2.36942928094697,-2.14541081762817,-1.92852037654936,-2.46344208921451,-2.59851123996793,-2.78409168668552,-2.54803878888143,-2.60712880329557,-2.32594942327498,-2.41812569632632,-0.252838797873313,-1.92223667159612,-1.76200467468371,-2.04722332054557,-2.41460127338098,-0.503090554482025,-1.77180584756307,-2.2029267767511,-2.50640529857786,-2.50128137368862,-1.65572040398922,-2.03420683456336,-1.77710973579274,-2.11610434361868,-2.21121505180179,-2.03876158310179,-2.76278686358354,-2.86010008102914,-2.6185476246234,-3.48650087645524,-2.10915733595113,-2.18561961925962,-1.97370668365725,-2.75391639366128,-3.0442206349152,-2.33659459162533,-1.83710780526202,-2.62068467669778,-2.45708789869245,-0.970190542489606,-2.12526115485607,-2.18351434742707,-2.64663388115883,-2.76271461764627,-1.77519467586255,-2.2187829760663,-2.65472605910283,-3.02049908962014,-2.93172698960836,-2.64110692950121,-2.86506901417164,-3.5658695057285
"1","1",-0.297338792221085,-0.5,"male",-0.997000587803695,-1.20437412874345,-1.06760302405788,-1.89068930324892,-2.30556825761403,-0.756551427857908,-1.44936282872631,-1.37065339816651,-1.24057828125374,-1.97840137069502,-1.11635478024653,-1.45493641587034,-1.56976166956207,-2.02436363298996,-2.19524954148137,-0.96219935750918,-1.36476402377468,-1.85888566850922,-1.71993423026721,-2.62643330088452,-1.35228995143807,-1.82035243283411,-2.10574366926956,-2.04938719966581,-2.52399894739511,-1.06268260586363,-1.23115687608529,-1.57745607852416,-2.34968391258767,-1.13386393957281,-1.8121851853035,-1.8406625173927,-2.02180448041161,-2.44549652804374,-1.01272467626709,-1.99228285083441,-2.13215485807107,-2.25788191854574,-2.3702302339469,-1.53490045045593,-2.39630714497023,-2.70858069048564,-2.15153078245675,-2.66152695213395,-1.7643179835876,-1.81979815289596,-1.58917293745038,-2.34879091577652,-2.42289609406548,-2.28996689975506,-1.91130169009059,-2.7051386739643,-2.59570555365228,-2.73326923287827,-2.74413358241573,-2.68185776854696,-2.76099872668921,-2.40199941126057,-0.606613347527113,-1.80658190052489,-1.8699889071493,-1.90064458198991,-2.45575991219113,-0.569373032182289,-1.93138075176465,-2.31136742886814,-2.4313751499739,-2.46785466295806,-1.48691458333193,-2.03454712965,-2.09941802903642,-2.37944486577136,-2.42952846426856,-1.82900077396507,-2.4713127471071,-2.77556027832096,-2.84677857206425,-2.45187806325736,-2.01423342537196,-2.09890543845301,-1.97137234111842,-2.57716537793126,-0.590072660532079,-2.38075028003385,-1.75167728657074,-2.62247971255285,-2.33257291456931,-0.921713856151583,-1.80337167597956,-2.19327332498827,-2.62127746081496,-2.9572840666103,-1.5068637122975,-2.35863795635322,-2.74286511594912,-2.88849642322294,-2.7763974626573,-3.00307204964852,-2.81554212014379,-3.17583523403156
"1","1",-0.297338792221085,-0.5,"male",-1.26637865246597,-1.6106766065883,-1.12581931861589,-1.83820753041274,-2.01078821034912,-0.81318929247998,-1.31179739696685,-1.24733356261456,-1.26562855091659,-2.18033576150854,-1.06591058768447,-1.57172299291284,-1.50585347146906,-1.99372957349316,-2.34174388357333,-1.01732166308525,-1.30291488695339,-1.97709871484621,-1.80655949719673,-2.68458141979666,-1.77384117448064,-1.78730905823777,-2.31092345418764,-2.04306076927613,-2.46406207093339,-1.05108552090783,-1.19661993091917,-1.41793015870346,-2.29647562364155,-0.960013388351147,-1.50806798423383,-1.74695993567821,-2.11996529027922,-2.23287114394999,-0.945254079997734,-1.68786161296918,-2.04237613603344,-2.25907539257443,-2.33367115157671,-1.56584985080553,-2.42535231873547,-2.49095799231055,-2.22842832936745,-2.9239137706154,-1.7061384403453,-1.9383822243245,-1.89035884689895,-2.73371003865199,-2.56654321402198,-2.16680896739649,-1.95231706853057,-2.99082411750897,-2.6443433948194,-1.18071658504877,-2.83369324429395,-2.45311374145347,-2.25695127385958,-2.59141683898723,-0.978433007150293,-1.54985154136811,-1.93617410072078,-1.82520108660129,-2.4307739529269,-1.05708796479503,-1.86502108406343,-2.41967635538407,-2.53506509469467,-2.3549212390862,-1.50311848779799,-2.05966422848232,-1.91968992182323,-2.23761301074776,-2.30785831314944,-1.94692256616146,-2.55436330807305,-2.6139318113398,-2.98562448702913,-2.79898412149841,-2.14942425248415,-2.20120559628341,-1.93883182306903,-2.56879905187533,-0.755734233807619,-2.33716771502633,-1.89079272565058,-2.49866442691091,-2.32529164215451,-0.870148533031569,-1.67092327741572,-2.22875898948722,-3.09859849354556,-2.96693519778564,-1.4341207369474,-2.64134588290645,-2.52635557667901,-3.10091576862715,-2.79764051961069,-3.04220271068633,-2.86906997782977,-3.21076253698614
"1","1",-0.297338792221085,-0.5,"male",-1.13934759904981,-1.5486719478716,-1.15554462108889,-1.57431670737149,-2.02591064811358,-0.725933324636726,-1.1945580857456,-1.23474219787814,-1.31239537025906,-1.96009954955474,-0.925982142856788,-1.35833009131114,-1.51701640514273,-1.88376872269847,-2.34739429525852,-1.08919631753271,-1.32932845136254,-1.93627791144302,-1.83151349411789,-2.46757832402373,-1.54400843221113,-1.78011864694812,-2.18466493901198,-2.09506667476737,-0.940683493918753,-1.00408015269283,-1.23287558955604,-1.52374378260591,-2.38823429257129,-1.17756388184668,-1.65283127050165,-1.86609262592585,-1.86593654914688,-2.03399705555263,-1.15439758620529,-1.72427445071819,-1.90844459495782,-2.27873979052394,-2.39912574034606,-1.58220300205197,-2.58894266160769,-2.15445389587629,-2.34983277700438,-2.47134620490081,-1.71012088021657,-1.86394520063847,-1.83073545789955,-2.35404578816384,-2.67097728140814,-2.002072185645,-2.09718632434564,-2.49443825428378,-2.64361666970104,-0.49184765067417,-2.74981168893601,-2.62438497215667,-2.69947916320359,-2.64141246244067,-1.0563027400273,-1.47158151906288,-2.27044018756227,-1.86164163566886,-2.38422656220533,-1.0260421800804,-2.37667623989305,-2.20200117169006,-2.54468016335626,-2.34650367287227,-1.90422357463391,-1.92521260845641,-2.00916183103643,-2.33991581537556,-2.46610465222883,-1.83255859863692,-3.08301012822745,-2.34661778507547,-3.21226089057078,-2.41394213661201,-2.29455313280506,-1.89025954503574,-1.93154531435287,-2.56656529205946,-0.597378458687096,-2.2104644779358,-1.94862380950298,-2.59343153741749,-2.39087933358194,-0.915258119510202,-1.66743628834281,-2.15446308797892,-2.53701779048077,-3.08758480908323,-1.19107818285994,-2.72954320598257,-2.42362130094343,-3.02869861575336,-3.15512395301368,-3.36040512361538,-2.92321731921643,-3.27265166743258
"1","1",-0.297338792221085,-0.5,"male",-1.2469473707796,-1.57230139751801,-1.13016763566092,-1.59015666614304,-2.50385436770962,-0.571257165368018,-1.23192991425591,-1.09052277004326,-1.59220315068419,-2.05293777237749,-1.00211283704965,-1.37285775430821,-1.51650275611811,-1.88146142141356,-2.33255973159835,-0.927814683400086,-1.5804550585735,-1.83966390317488,-2.39264201577651,-2.38516813229694,-1.87998275500242,-1.78516763999069,-2.18871813981277,-2.38178834962177,-0.735819430244568,-1.29336251844607,-1.28116721379617,-1.53189502670455,-2.61377740897066,-1.55347695406339,-1.63740532387675,-1.97899227564622,-1.79651549372548,-2.02122625455834,-1.3492510367952,-1.54698254358623,-1.88018784076956,-2.3577661202373,-2.4204335117389,-1.83933945436975,-2.42249173261113,-1.86298917454239,-2.28836622795846,-2.48869613668807,-1.68460580700553,-2.13476497179872,-2.11629098763317,-2.1734879642984,-2.52872730880011,-2.3747815966093,-1.98802862274394,-2.33358837735657,-2.58032776801982,-0.502513223675497,-2.78070042855801,-2.82523058243895,-2.38833657766022,-2.42412264684939,-1.01285420891362,-1.55734710085798,-2.29483277928051,-1.80770954996652,-2.26462984065666,-0.999445873212488,-2.0987317798118,-2.35833838127208,-2.53442020738355,-2.46793143509302,-1.91091333675452,-1.93604220524696,-2.12744746394189,-2.45503656509447,-2.27553502363174,-1.77524097863162,-3.19326558279394,-2.39040813492263,-2.5478716795066,-2.54513578696461,-2.18091535529938,-1.84890367420207,-2.14683919210089,-2.5296773164256,-0.749022527184577,-2.19926180553368,-2.08507493540209,-2.6761679186184,-2.69948367652591,-1.31557387568409,-1.71826040392959,-2.15319694665418,-2.54911750959712,-2.85357312636779,-1.22047305480094,-2.6727272695855,-2.64096028094538,-3.3381668228877,-2.76024234558817,-3.15700066456564,-3.34715606928509,-3.44795502362053
